"","wage","educ","exper","hrswk","married","female","metro","midwest","south","west","black","asian"
"85",19.23,12,29,40,1,0,1,1,0,0,0,0
"86",13.45,12,42,40,1,1,1,1,0,0,0,0
"87",27.5,13,20,40,1,0,0,1,0,0,0,0
"88",10,14,18,40,1,0,1,1,0,0,1,0
"89",13.03,12,31,40,1,1,0,0,0,1,0,0
"90",7.88,12,40,0,1,1,0,1,0,0,0,0
"91",8,6,14,40,1,1,1,0,0,0,0,0
"92",16.83,16,13,40,0,1,1,0,0,1,0,0
"93",13.8,12,36,5,1,1,0,1,0,0,0,0
"94",10.3,13,56,20,1,1,1,0,1,0,0,0
"95",11.5,14,28,40,1,0,0,1,0,0,0,0
"96",12,16,29,25,1,1,1,0,1,0,0,0
"97",35.89,18,21,45,1,1,1,0,1,0,0,1
"98",28.85,16,34,40,1,1,1,0,1,0,0,0
"99",16.95,12,35,40,1,0,1,1,0,0,0,0
"100",17,14,29,40,0,1,1,0,0,1,0,0
"101",8,14,3,15,0,1,0,1,0,0,0,0
"102",40.38,16,17,40,1,0,1,0,0,0,0,0
"103",20,13,26,40,1,1,0,1,0,0,0,0
"104",19.23,13,17,40,1,1,1,0,0,0,0,0
"105",10,16,32,35,1,1,0,1,0,0,0,0
"106",35.71,16,16,40,0,1,1,0,0,0,1,0
"107",39.06,14,18,32,0,1,1,0,1,0,0,0
"108",9,18,43,24,0,1,1,0,1,0,0,0
"109",13.5,12,7,32,0,1,1,1,0,0,0,0
"110",31.25,18,22,50,1,1,0,0,0,0,0,0
"111",19.23,12,21,40,1,0,0,0,1,0,0,0
"112",29.91,16,33,45,0,1,1,0,1,0,0,0
"113",13.5,12,23,40,0,0,1,0,1,0,0,0
"114",15,16,6,55,0,1,1,0,1,0,0,0
"115",32.68,13,24,40,0,0,1,0,1,0,0,0
"116",29.08,16,12,40,0,1,1,0,0,0,0,0
"117",27.83,14,6,40,1,0,0,0,0,1,0,0
"118",14.25,12,46,40,1,0,1,0,1,0,0,0
"119",38.47,16,47,45,1,0,1,0,1,0,0,0
"120",18.28,12,13,40,1,0,1,0,1,0,0,0
"121",20,16,34,20,1,1,1,0,0,1,0,0
"122",9,14,19,15,1,1,1,0,0,0,0,0
"123",12,12,65,40,1,0,1,1,0,0,0,0
"124",12,16,13,40,0,1,1,0,0,0,0,0
"125",25.63,18,21,30,1,1,1,0,1,0,0,0
"126",22.05,13,12,40,0,1,1,0,0,1,0,0
"127",10.5,16,37,38,1,1,1,0,1,0,1,0
"128",6.76,9,20,40,1,0,1,0,1,0,0,0
"129",6.5,10,63,40,0,1,1,0,1,0,1,0
"130",9.32,13,34,40,1,1,0,0,0,1,0,0
"131",10.58,12,46,40,1,1,0,0,0,0,0,0
"132",24.03,16,42,60,0,0,0,0,0,0,0,0
"133",18,12,27,40,1,0,1,0,1,0,0,0
"134",18.03,14,16,32,1,1,1,1,0,0,0,0
"135",39.23,18,43,40,0,1,1,0,0,1,0,0
"136",18.52,12,21,40,0,1,1,1,0,0,0,0
"137",24.05,16,24,45,1,0,1,0,0,0,0,0
"138",28.85,13,27,40,0,0,1,1,0,0,1,0
"139",9.57,10,11,42,0,0,1,0,0,1,0,0
"140",14.95,13,33,44,0,0,0,0,0,1,0,0
"141",15.65,13,39,40,0,0,1,0,0,1,0,0
"142",25,18,20,40,1,1,1,0,1,0,0,0
"143",27.88,21,15,60,1,0,1,0,1,0,0,0
"144",15.4,13,32,40,1,0,1,0,0,1,0,0
"145",19.23,14,4,40,0,0,1,1,0,0,0,0
"146",38,16,33,24,1,1,1,0,0,1,0,0
"147",15.38,12,35,40,1,0,1,0,0,0,0,0
"148",28.85,13,48,1,1,0,1,0,0,1,0,0
"149",15.88,13,17,40,0,1,1,0,1,0,0,0
"150",25,16,9,40,1,1,1,0,1,0,0,0
"151",11.35,14,38,40,0,1,1,1,0,0,0,0
"152",15.38,12,51,40,0,1,1,0,0,0,1,0
"153",30.76,16,19,40,1,1,1,0,0,1,0,1
"154",18.75,12,29,40,1,0,1,0,0,1,0,0
"155",72.13,16,28,40,1,1,1,1,0,0,1,0
"156",13.75,12,32,55,1,0,1,0,1,0,0,0
"157",24.05,13,30,40,1,0,1,0,0,0,0,0
"158",17.5,12,39,40,1,0,1,1,0,0,0,0
"159",43.25,18,8,40,0,1,1,0,1,0,0,0
"160",9.93,12,32,40,1,1,1,0,0,1,0,0
"161",24.63,16,38,65,0,0,1,0,1,0,0,0
"162",36.3,13,44,40,1,1,1,0,0,0,0,0
"163",30.9,16,35,50,1,1,1,0,1,0,0,0
"164",11,14,15,15,1,1,0,0,0,0,0,0
"165",12.5,12,29,40,0,1,1,0,0,0,0,0
"166",28.85,13,39,40,1,0,1,0,0,1,0,0
"167",10,12,9,35,0,0,1,1,0,0,0,0
"168",25.35,16,22,40,1,1,1,0,1,0,1,0
"169",12.31,13,23,60,0,1,1,0,0,1,0,0
"170",21.27,12,38,45,1,1,1,0,1,0,0,0
"171",17.49,12,30,55,1,0,0,0,1,0,0,0
"172",23,13,37,35,0,1,1,0,0,0,0,0
"173",36.05,18,37,40,1,0,1,0,1,0,0,0
"174",9,12,27,40,0,1,0,0,0,0,0,0
"175",27.3,13,31,50,0,1,1,0,0,1,0,0
"176",21.63,16,24,40,0,1,1,0,0,0,0,0
"177",17,13,19,40,1,1,0,0,0,0,0,0
"178",14.29,16,4,40,0,0,1,0,0,1,0,0
"179",35.1,18,35,40,1,0,1,0,0,0,0,0
"180",16,12,24,50,1,0,0,0,1,0,0,0
"181",7,12,14,40,1,1,0,1,0,0,0,0
"182",21.63,12,34,40,1,1,1,0,1,0,1,0
"183",9.25,14,39,40,1,1,1,0,1,0,0,0
"184",15.43,12,18,40,1,1,0,0,0,0,0,0
"185",21.25,16,36,48,1,1,1,0,0,1,0,0
"186",34.63,12,37,50,0,1,0,0,0,0,0,0
"187",10,16,17,3,1,1,1,0,1,0,0,0
"188",15.38,16,38,50,1,1,1,1,0,0,0,0
"189",45.23,14,42,40,0,1,1,0,0,1,0,0
"190",12,16,9,30,0,1,1,0,1,0,1,0
"191",10,12,35,40,1,0,1,0,0,1,0,1
"192",14,13,10,20,0,1,1,0,0,0,1,0
"193",31.25,12,40,40,0,0,1,0,0,1,1,0
"194",50.95,18,22,40,1,0,1,0,0,1,0,0
"195",37.5,21,36,40,1,0,1,0,0,0,0,1
"196",15.88,13,44,37,0,1,1,0,1,0,1,0
"197",23.08,12,27,50,1,0,1,0,0,1,0,0
"198",8.52,0,44,40,0,0,1,0,0,1,0,0
"199",10,14,37,40,1,1,1,1,0,0,0,0
"200",18,14,37,40,0,0,1,0,0,1,0,0
"201",31.73,13,19,40,0,0,1,0,0,1,0,1
"202",20,16,10,42,1,1,1,0,1,0,1,0
"203",28,18,7,70,0,0,1,0,0,1,0,0
"204",7.25,9,16,40,0,1,1,0,1,0,0,0
"205",14.4,16,17,40,0,1,1,0,1,0,1,0
"206",21.63,12,22,40,0,1,1,1,0,0,0,0
"207",24.05,13,29,40,1,1,1,0,0,1,0,0
"208",21,13,9,40,1,0,1,0,0,1,0,0
"209",24.29,16,28,45,0,1,1,0,1,0,1,0
"210",6,14,6,20,0,0,0,0,0,0,0,0
"211",12.5,12,16,40,1,1,1,0,1,0,0,0
"212",19.23,12,15,40,1,0,0,0,0,1,0,0
"213",15.53,12,27,40,1,1,1,0,1,0,0,0
"214",7.25,11,12,20,1,1,0,1,0,0,0,0
"215",35.49,18,9,65,0,0,1,0,0,0,0,0
"216",19.24,18,8,55,0,1,1,1,0,0,0,0
"217",22.7,18,29,62,0,0,1,1,0,0,0,0
"218",30.7,18,25,50,0,1,1,0,0,1,0,0
"219",10,13,13,40,1,1,0,0,0,1,0,0
"220",72.13,16,11,40,1,0,1,0,0,0,0,0
"221",72.13,16,22,40,1,0,1,0,0,1,0,0
"222",19.23,14,44,40,1,1,1,1,0,0,0,0
"223",9.9,13,9,30,1,1,1,0,1,0,1,0
"224",15,8,43,40,1,0,1,0,0,1,0,0
"225",6.5,13,57,32,1,1,1,0,0,1,0,0
"226",28.72,12,14,46,0,0,1,0,1,0,0,0
"227",34.63,18,19,40,1,0,1,0,0,0,0,1
"228",12.03,13,9,40,0,0,1,0,1,0,1,0
"229",9,14,8,40,1,0,0,0,0,1,0,0
"230",30,16,16,40,0,1,1,0,1,0,0,0
"231",3.75,16,31,60,1,0,0,0,0,1,0,0
"232",16.83,14,10,40,0,1,1,0,0,1,0,1
"233",12.08,12,24,40,1,0,1,1,0,0,0,0
"234",43.8,21,33,50,1,0,1,0,0,1,0,0
"235",8.25,13,7,40,1,1,0,0,1,0,0,0
"236",19.55,14,32,40,0,1,0,0,1,0,0,0
"237",21.54,16,19,50,1,0,1,0,0,0,0,0
"238",14.5,12,34,50,0,1,1,0,0,0,0,0
"239",10.5,8,37,40,0,0,1,0,1,0,0,0
"240",11.3,13,21,40,1,1,1,1,0,0,0,1
"241",35,12,51,40,0,0,1,0,0,1,0,0
"242",19.55,14,28,40,1,0,1,0,0,0,0,0
"243",10.94,12,10,32,1,1,1,1,0,0,1,0
"244",13.33,12,50,30,1,0,1,0,0,0,0,0
"245",18,12,21,40,0,0,0,0,1,0,0,0
"246",9.5,12,10,44,0,0,0,1,0,0,0,0
"247",18,12,24,0,0,1,1,0,0,0,0,0
"248",15,18,17,40,1,1,1,0,1,0,0,0
"249",13,12,15,40,0,0,1,0,0,1,0,0
"250",19.2,14,39,30,1,1,0,0,1,0,0,0
"251",11.5,12,21,40,1,0,1,0,0,0,0,0
"252",36.52,16,30,50,0,0,1,0,1,0,0,0
"253",10,12,39,40,0,1,1,1,0,0,0,0
"254",20.04,13,30,63,0,0,1,1,0,0,1,0
"255",24.03,16,4,40,0,0,1,0,0,0,0,0
"256",31.25,14,35,40,0,0,0,1,0,0,0,0
"257",13.04,13,15,40,1,0,1,0,0,0,0,0
"258",16,12,44,40,1,0,1,0,0,0,0,0
"259",31.25,12,44,40,0,0,1,1,0,0,1,0
"260",16.88,16,36,40,0,1,1,0,0,0,1,0
"261",29.8,13,42,40,1,0,1,1,0,0,0,0
"262",7.6,12,47,5,0,1,0,0,0,0,0,0
"263",11,13,35,40,0,1,1,0,0,0,0,0
"264",16.28,16,35,40,0,1,1,1,0,0,0,0
"265",17.57,13,50,38,1,0,0,0,0,0,0,0
"266",24.33,16,18,50,0,1,1,0,0,0,1,0
"267",16.24,16,36,45,1,0,1,0,0,1,0,0
"268",22,16,9,40,0,0,1,0,0,1,0,0
"269",25,12,32,50,1,0,1,0,1,0,0,0
"270",20,13,22,30,1,0,1,1,0,0,0,0
"271",43,12,29,40,0,0,0,1,0,0,0,0
"272",40.38,16,39,24,1,1,1,0,1,0,0,0
"273",11.5,13,17,40,1,0,1,0,0,0,0,0
"274",19.23,13,42,40,0,0,1,1,0,0,0,0
"275",7.5,13,44,48,1,0,1,0,1,0,1,0
"276",19.23,16,19,71,0,1,1,0,0,1,0,0
"277",21.5,12,35,22,1,1,1,0,0,0,0,0
"278",26,14,28,40,1,1,1,0,0,1,0,0
"279",16.08,18,36,40,0,0,0,0,0,1,0,0
"280",14,16,7,20,0,0,1,1,0,0,0,0
"281",23.06,16,33,50,0,1,1,0,0,1,0,0
"282",13.25,12,20,40,0,0,0,0,0,1,0,0
"283",61.11,18,22,45,0,1,1,0,0,0,0,0
"284",11.25,13,10,50,1,1,0,0,0,1,0,0
"285",16.83,16,35,40,0,0,1,0,1,0,1,0
"286",8,13,5,12,0,0,0,1,0,0,0,0
"287",8.63,12,36,40,0,1,1,0,1,0,1,0
"288",18.75,14,14,54,0,1,1,1,0,0,0,0
"289",30.33,18,34,45,1,0,0,1,0,0,0,0
"290",40.46,13,32,48,0,0,1,0,0,1,0,0
"291",27.63,16,42,40,1,1,0,1,0,0,0,0
"292",11,16,3,24,0,1,1,1,0,0,0,0
"293",7.5,13,6,60,0,0,0,1,0,0,0,0
"294",17.88,16,15,40,1,1,0,0,0,1,0,0
"295",8,13,27,40,1,0,0,0,0,0,0,0
"296",18.3,12,33,40,1,0,0,0,1,0,0,0
"297",28.83,13,34,56,0,0,0,0,1,0,0,0
"298",13,12,28,40,0,0,1,1,0,0,0,0
"299",25.32,12,35,40,1,0,0,0,0,1,0,0
"300",18.9,12,38,40,1,0,0,0,0,0,0,0
"301",17.86,12,45,42,0,0,1,0,1,0,0,0
"302",9.26,12,43,35,1,1,1,0,1,0,0,0
"303",18.49,12,39,45,1,0,0,0,0,0,0,0
"304",14.43,12,26,40,0,1,1,0,0,1,0,0
"305",24.05,18,30,40,0,1,1,0,1,0,0,0
"306",6.87,16,9,30,0,1,1,0,0,1,0,0
"307",19.24,18,24,50,0,0,1,0,1,0,0,0
"308",24.05,18,10,40,1,1,1,0,0,0,0,0
"309",20.09,16,9,45,1,0,0,0,0,1,0,0
"310",26,12,53,60,0,0,1,0,0,0,0,0
"311",21.15,16,14,40,0,0,1,0,1,0,0,0
"312",27.4,13,36,52,1,0,1,1,0,0,0,0
"313",38.45,16,33,40,1,1,1,0,1,0,0,0
"314",12.86,12,34,70,1,0,0,1,0,0,0,0
"315",10.3,12,14,40,0,1,1,0,0,0,0,0
"316",11,16,43,40,1,0,0,0,0,0,0,0
"317",15.13,12,32,40,0,0,1,0,0,1,0,0
"318",24.05,14,45,44,1,1,1,0,0,0,0,0
"319",13,12,13,40,0,1,1,0,0,0,0,0
"320",20.2,16,17,40,1,0,1,0,0,0,0,0
"321",7.5,11,9,40,0,0,0,1,0,0,1,0
"322",8,13,5,20,0,0,0,0,1,0,0,0
"323",7.25,8,18,20,0,1,0,0,0,0,0,0
"324",11.5,13,64,40,0,1,1,0,1,0,0,0
"325",24.05,13,35,40,1,0,1,1,0,0,0,0
"326",24.05,12,55,40,1,1,1,0,1,0,1,0
"327",13.73,13,26,40,1,0,1,0,0,0,0,0
"328",7.93,13,27,40,1,1,1,0,1,0,0,0
"329",8.75,16,35,40,0,0,0,0,1,0,1,0
"330",13.2,10,25,40,1,0,1,0,1,0,0,0
"331",15,12,38,40,1,1,0,1,0,0,0,0
"332",15.39,12,41,54,1,0,0,0,1,0,0,0
"333",8,12,19,40,0,0,1,0,0,1,0,0
"334",35.25,16,25,60,1,0,1,0,0,1,0,0
"335",14.68,18,12,40,1,1,1,0,0,1,0,0
"336",12.4,12,37,40,0,1,0,0,0,1,0,0
"337",12.5,13,12,40,1,0,1,0,0,1,0,0
"338",10,12,36,40,1,1,1,0,0,0,0,0
"339",21.67,18,26,52,0,1,1,0,0,1,0,0
"340",20,12,30,30,1,1,1,0,1,0,0,1
"341",13.08,14,16,40,1,1,0,0,1,0,0,0
"342",7,12,36,35,1,1,0,0,1,0,0,0
"343",19.23,16,14,60,0,0,1,0,0,0,0,0
"344",15,14,28,52,1,0,1,0,1,0,0,0
"345",6.5,12,24,30,1,0,0,0,1,0,0,0
"346",8.5,12,14,40,0,0,1,0,0,1,0,0
"347",6.35,12,17,40,1,1,0,0,1,0,0,0
"348",19.24,14,7,50,0,0,1,0,0,1,0,0
"349",20.63,13,34,38,1,1,1,0,0,1,0,0
"350",24.05,3,36,40,1,0,1,0,1,0,0,0
"351",48.55,18,42,40,1,0,1,0,1,0,0,0
"352",13.16,16,4,38,0,1,1,1,0,0,0,0
"353",12.75,12,28,36,1,1,1,1,0,0,0,0
"354",19.57,16,13,28,1,1,0,0,0,0,0,0
"355",8.53,13,5,20,0,0,1,0,1,0,0,0
"356",10,13,6,20,0,1,1,1,0,0,0,0
"357",24.33,12,40,40,1,0,1,1,0,0,0,0
"358",11,14,41,37,0,1,1,0,0,0,0,0
"359",33.65,18,34,40,1,1,1,1,0,0,0,0
"360",14.91,16,38,32,0,1,1,1,0,0,0,0
"361",14.16,12,6,38,0,0,1,0,0,0,0,0
"362",10.78,13,44,45,0,0,1,0,0,1,0,0
"363",21.36,16,33,32,1,1,1,0,0,1,0,0
"364",38.23,12,36,40,1,1,1,0,0,0,0,0
"365",36.71,13,19,55,1,0,1,0,1,0,0,0
"366",6.25,18,15,40,1,1,1,0,0,0,0,1
"367",27.1,16,29,50,0,0,1,0,1,0,0,0
"368",10,12,21,40,0,0,1,1,0,0,1,0
"369",8,16,29,40,0,0,0,0,1,0,1,0
"370",7.5,12,18,40,0,0,1,0,0,0,0,0
"371",10.38,13,6,16,0,1,1,1,0,0,0,0
"372",13.73,16,22,64,0,1,1,0,0,0,0,0
"373",54.05,16,31,40,1,0,1,0,1,0,0,0
"374",17.3,12,42,50,1,1,1,0,0,0,0,0
"375",20.3,14,6,47,0,0,1,1,0,0,0,0
"376",7.14,12,18,40,1,1,1,0,0,0,0,0
"377",25,16,14,50,1,0,1,0,0,0,0,0
"378",31.15,14,28,40,1,0,1,0,0,1,0,0
"379",9.5,12,8,60,0,0,1,0,1,0,0,0
"380",8.1,12,10,40,0,1,1,1,0,0,1,0
"381",8.5,12,9,40,1,1,1,0,0,1,0,0
"382",25.96,14,14,45,1,0,1,0,0,1,0,0
"383",13.75,16,9,40,0,1,1,0,0,0,0,0
"384",12.5,14,30,40,0,1,1,0,0,1,0,0
"385",9,12,20,10,1,1,1,1,0,0,0,0
"386",57.69,16,43,45,1,0,1,0,0,1,0,0
"387",72.13,14,32,40,0,1,1,0,0,1,0,1
"388",36.05,16,6,40,1,0,1,1,0,0,0,0
"389",19.79,12,46,42,0,0,1,0,1,0,0,0
"390",50,18,15,20,1,1,0,1,0,0,0,0
"391",7.49,12,40,35,0,1,1,1,0,0,1,0
"392",16,12,33,40,1,0,1,0,0,1,0,0
"393",40.38,21,31,40,1,1,1,0,0,0,0,0
"394",33.65,16,32,48,1,0,1,0,0,1,0,0
"395",38.45,18,32,40,1,1,1,0,0,1,0,0
"396",52.88,16,43,40,1,1,0,0,1,0,0,0
"397",13,12,50,40,0,1,1,1,0,0,0,0
"398",24.05,12,17,40,0,1,1,0,1,0,0,0
"399",8.75,16,8,40,1,0,1,0,1,0,0,0
"400",40.38,18,8,40,0,1,1,0,1,0,0,0
"401",8.8,12,24,30,0,1,1,1,0,0,0,0
"402",15.56,16,15,45,0,1,1,0,0,1,0,1
"403",10,12,24,28,1,1,1,0,0,1,0,0
"404",9.34,11,20,35,1,1,1,0,0,1,0,0
"405",10.5,12,21,16,1,1,1,1,0,0,0,0
"406",18,12,30,40,1,0,1,0,0,0,1,0
"407",6.93,12,54,40,1,0,0,0,0,1,0,0
"408",17.5,6,33,40,0,0,1,0,0,1,0,0
"409",24.05,16,27,40,1,0,0,0,0,0,0,0
"410",12.31,12,49,45,0,1,1,0,0,1,0,0
"411",32.7,12,25,40,1,0,1,1,0,0,0,0
"412",9.5,12,32,40,0,1,0,1,0,0,0,0
"413",17.5,16,3,16,0,1,1,0,0,0,0,0
"414",25,16,5,40,0,0,1,0,0,0,0,0
"415",14.43,13,41,40,1,1,1,0,0,1,0,0
"416",9.33,13,6,40,0,1,1,1,0,0,0,0
"417",17.48,12,39,44,1,1,0,1,0,0,0,0
"418",12.5,12,7,20,0,1,1,0,1,0,0,0
"419",8,12,33,40,1,1,0,0,1,0,1,0
"420",17.3,12,11,50,1,0,1,0,0,1,0,0
"421",15.38,12,27,56,0,1,1,0,1,0,1,0
"422",6.5,8,44,40,1,0,1,1,0,0,0,0
"423",44.43,16,32,42,0,1,1,0,0,1,0,0
"424",15.85,14,47,40,0,1,1,1,0,0,1,0
"425",14.4,12,9,40,0,0,1,0,0,1,0,0
"426",7.29,14,47,7,0,1,0,1,0,0,0,0
"427",19.7,18,22,40,1,1,1,0,1,0,0,0
"428",21,14,24,40,1,1,0,0,1,0,0,0
"429",11,12,28,34,0,1,0,0,0,1,0,0
"430",16.57,14,29,55,0,1,0,0,1,0,0,0
"431",48.55,16,38,40,0,0,1,0,0,1,0,0
"432",12,12,12,60,0,0,1,0,1,0,0,0
"433",40.15,16,28,40,1,0,1,0,1,0,0,0
"434",22.4,12,28,40,1,0,0,0,0,0,0,0
"435",11.5,13,45,56,0,1,1,0,1,0,1,0
"436",28.85,12,38,40,1,0,1,0,0,1,0,0
"437",24.23,14,6,40,0,1,1,1,0,0,0,0
"438",24.05,16,27,40,1,0,1,1,0,0,0,0
"439",7.5,9,23,60,1,0,1,0,0,0,0,0
"440",11.25,13,7,40,0,1,1,0,1,0,0,0
"441",19.23,16,36,40,0,1,1,0,0,1,0,0
"442",12.98,13,31,40,1,1,1,0,1,0,1,0
"443",16.56,13,26,60,0,0,1,0,0,1,0,1
"444",23,12,24,40,1,1,1,0,0,0,0,0
"445",12,12,39,25,1,1,1,0,1,0,0,0
"446",53.57,18,38,36,0,1,1,0,1,0,1,0
"447",8.85,11,14,20,0,1,1,1,0,0,0,0
"448",47.8,16,36,40,1,1,1,0,0,1,0,0
"449",20,14,7,40,1,1,1,1,0,0,0,0
"450",1.97,18,51,35,1,1,1,0,1,0,0,0
"451",10.51,12,38,48,1,1,1,1,0,0,0,0
"452",9,13,11,35,0,1,1,0,0,1,0,1
"453",9.73,14,13,54,1,1,1,0,1,0,0,0
"454",38.45,16,39,48,1,1,0,0,0,0,0,0
"455",28,16,17,40,0,0,1,0,0,1,0,0
"456",27.23,12,40,40,0,1,1,0,1,0,0,0
"457",13.03,12,27,40,0,1,1,0,1,0,0,0
"458",30,16,26,8,1,1,1,0,0,1,0,0
"459",10.1,14,18,40,1,1,1,0,0,0,0,0
"460",16.25,12,14,40,1,0,1,1,0,0,1,0
"461",15.25,12,43,40,1,1,0,1,0,0,0,0
"462",35,13,10,40,0,0,0,0,0,1,0,0
"463",57.68,21,16,40,1,1,1,0,0,1,0,0
"464",50,16,43,40,1,0,1,0,0,0,0,0
"465",9.63,12,42,40,0,1,1,0,1,0,1,0
"466",10,14,29,40,0,1,1,1,0,0,0,0
"467",15.23,12,44,40,1,0,0,1,0,0,0,0
"468",10.5,12,37,52,0,1,1,1,0,0,1,0
"469",10,16,4,20,0,1,1,0,0,0,0,0
"470",20.1,12,40,40,0,0,1,0,0,0,0,0
"471",8,12,49,24,0,1,1,0,0,1,0,0
"472",17,13,9,40,0,0,0,1,0,0,0,0
"473",35.17,18,26,35,1,1,1,0,0,0,0,0
"474",9,13,54,20,1,1,1,0,1,0,0,0
"475",12.9,16,11,40,0,1,1,0,1,0,0,0
"476",12.75,9,28,40,1,0,1,0,0,0,0,0
"477",24.05,18,25,40,1,1,1,0,0,0,0,0
"478",10.19,12,38,90,0,1,1,0,1,0,0,0
"479",38.45,14,33,40,1,1,1,0,0,1,0,0
"480",14.25,12,35,8,0,0,1,1,0,0,0,0
"481",12.03,6,21,40,0,0,1,0,1,0,0,0
"482",19.23,13,27,40,0,1,1,0,0,0,0,0
"483",8.75,14,33,40,1,1,1,0,1,0,0,0
"484",29.1,13,39,43,1,0,1,0,0,1,0,0
"485",33.65,16,31,40,1,0,1,0,0,0,0,0
"486",16,12,20,40,1,0,1,0,1,0,0,0
"487",13.88,3,64,40,0,0,0,0,1,0,1,0
"488",25,12,42,60,0,0,1,0,1,0,1,0
